Branch,pdate,BILLDATE,Nominal,days_late,kolektibilitas
2,2017-02-14,2017-01-13,1493500.0,-32,1
2,2017-02-14,2017-01-19,-146250.0,-26,1
2,2017-02-14,2016-05-02,7148683.0,-288,4
2,2017-02-14,2016-04-21,21477048.0,-299,4
2,2017-02-20,2017-02-18,-2543300.0,-2,1
2,2017-02-20,2016-10-26,2543300.0,-117,2
8,2018-01-22,2017-12-28,3261250.0,-25,1
8,2018-01-22,2017-12-20,3130500.0,-33,1
8,2018-01-22,2017-08-25,4294370.0,-150,3
8,2018-01-22,2017-08-25,4469300.0,-150,3
10,2017-02-07,2016-12-19,4294000.0,-50,1
5,2017-02-07,2016-12-17,226600.0,-52,1
11,2017-12-28,2017-12-19,1795720.0,-9,1
11,2017-12-28,2017-12-19,1421770.0,-9,1
10,2017-11-23,2017-07-04,2958749.0,-142,3
10,2017-11-23,2017-09-20,4707000.0,-64,1
16,2017-11-02,2017-09-27,2979640.0,-36,1
16,2017-11-02,2017-09-27,2574100.0,-36,1
16,2017-11-02,2017-09-28,959125.0,-35,1
16,2017-11-02,2017-09-27,3205000.0,-36,1
16,2017-11-02,2017-09-27,2345560.0,-36,1
16,2017-11-02,2017-09-27,4536000.0,-36,1
14,2017-02-03,2017-02-28,3790250.0,25,0
11,2017-10-18,2017-07-25,7471000.0,-85,1
11,2017-10-18,2017-10-18,3234850.0,0,0
11,2017-10-18,2017-09-29,3265850.0,-19,1
11,2017-10-18,2017-10-18,-3234850.0,0,0
11,2017-10-18,2017-10-18,-3234850.0,0,0
11,2017-10-11,2017-09-13,139000.0,-28,1
13,2017-10-05,2017-09-27,7512123.0,-8,1
10,2017-09-29,2017-09-27,5538314.0,-2,1
10,2017-09-29,2017-03-13,-2769157.0,-200,4
7,2017-09-06,2017-05-11,3478922.0,-118,2
7,2017-08-31,2017-08-23,518500.0,-8,1
7,2017-08-31,2017-08-21,3107500.0,-10,1
7,2017-08-31,2017-08-22,3613300.0,-9,1
7,2017-08-31,2017-06-30,3155000.0,-62,1
7,2017-08-31,2017-07-27,2935790.0,-35,1
7,2017-08-31,2017-07-25,2408000.0,-37,1
10,2017-08-31,2017-05-18,139000.0,-105,2
7,2017-08-31,2017-06-17,3782500.0,-75,1
7,2017-09-06,2017-04-11,3309100.0,-148,3
13,2017-08-28,2017-08-17,-2004214.0,-11,1
13,2017-08-28,2017-08-17,-2004214.0,-11,1
10,2017-08-21,2017-08-20,476500.0,-1,1
7,2017-09-06,2017-08-03,603000.0,-34,1
17,2017-08-15,2017-05-30,-1018730.0,-77,1
10,2017-08-23,2017-08-23,3407650.0,0,0
10,2017-08-23,2017-08-09,4377500.0,-14,1
10,2017-08-23,2017-08-15,2178750.0,-8,1
3,2017-07-31,2017-01-26,4175750.0,-186,4
18,2017-08-04,2017-06-22,160310.0,-43,1
17,2017-06-22,2017-05-31,4471200.0,-22,1
17,2017-06-22,2017-06-12,2219700.0,-10,1
13,2017-06-19,2016-11-23,4684100.0,-208,4
17,2017-06-22,2017-05-31,-7325060.0,-22,1
5,2017-02-16,2017-02-10,2783500.0,-6,1
4,2017-09-06,2017-07-18,5997803.0,-50,1
2,2017-10-04,2017-09-12,-1681301.0,-22,1
10,2017-08-31,2017-08-10,4739000.0,-21,1
8,2017-08-24,2017-07-26,-458136.0,-29,1
9,2017-08-11,2017-06-21,2005875.0,-51,1
9,2017-08-11,2017-06-21,2168700.0,-51,1
3,2017-02-14,2017-01-31,8678540.0,-14,1
3,2017-02-14,2017-01-28,-8678540.0,-17,1
3,2017-02-14,2017-01-27,5417500.0,-18,1
11,2017-07-15,2017-07-14,-3382400.0,-1,1
10,2017-07-27,2017-07-13,9619000.0,-14,1
10,2017-07-27,2017-07-13,6347073.0,-14,1
11,2017-07-15,2017-03-16,3382400.0,-121,3
11,2017-07-15,2017-03-16,3382400.0,-121,3
9,2017-08-11,2017-06-22,1368550.0,-50,1
9,2017-08-11,2017-06-22,1919750.0,-50,1
11,2017-07-15,2017-07-14,-3382400.0,-1,1
11,2017-07-15,2017-03-24,3500500.0,-113,2
11,2017-07-15,2017-07-14,-3500500.0,-1,1
8,2017-06-20,2017-06-02,-944020.0,-18,1
8,2017-06-20,2017-05-31,944020.0,-20,1
8,2017-06-20,2017-04-24,2814000.0,-57,1
8,2017-06-20,2017-06-16,-2814000.0,-4,1
6,2017-08-07,2017-06-20,242500.0,-48,1
6,2017-04-11,2016-12-30,24314010.0,-102,2
14,2017-02-03,2017-02-28,2858440.0,25,0
3,2017-02-14,2017-01-27,-5417500.0,-18,1
14,2017-02-03,2016-12-24,372241.0,-41,1
14,2017-02-03,2016-12-14,3381169.0,-51,1
8,2017-08-24,2017-07-26,-324640.0,-29,1
4,2017-09-06,2017-07-18,-5997803.0,-50,1
10,2017-09-29,2017-09-27,2990400.0,-2,1
11,2017-10-18,2017-10-17,-7471000.0,-1,1
3,2017-04-10,2017-03-31,3685200.0,-10,1
3,2017-04-10,2017-03-31,37000.0,-10,1
3,2017-04-10,2017-03-30,8966950.0,-11,1
3,2017-05-12,2017-03-31,2655000.0,-42,1
5,2017-05-22,2017-04-28,302290.0,-24,1
3,2017-02-14,2017-02-05,3181100.0,-9,1
3,2017-02-14,2017-01-30,-3181100.0,-15,1
3,2017-02-14,2017-01-27,7267000.0,-18,1
3,2017-02-14,2017-01-27,-7267000.0,-18,1
3,2017-02-14,2017-01-24,100680.0,-21,1
3,2017-02-14,2017-01-31,-100680.0,-14,1
8,2017-02-06,2017-02-02,2981000.0,-4,1
4,2017-02-06,2017-02-06,3596638.0,0,0
4,2017-02-06,2016-10-31,-3596638.0,-98,2
3,2017-02-07,2017-01-27,5417500.0,-11,1
8,2017-02-14,2017-02-06,-2812750.0,-8,1
8,2017-02-14,2016-10-19,2812750.0,-118,2
15,2017-05-23,2017-06-08,111400.0,16,0
17,2018-04-16,2018-03-14,3615960.0,-33,1
3,2017-05-12,2017-02-16,6336000.0,-85,1
10,2018-03-26,2017-06-16,3763900.0,-283,4
2,2018-03-12,2018-03-12,3982550.0,0,0
11,2018-02-09,2018-03-02,7946100.0,21,0
2,2017-03-31,2017-02-27,3958150.0,-32,1
7,2017-03-31,2017-03-31,78322016.0,0,0
7,2017-03-31,2017-03-13,8699002.0,-18,1
6,2017-02-13,2016-12-16,2882500.0,-59,1
6,2017-02-13,2017-02-18,259800.0,5,0
6,2017-02-13,2017-02-18,171800.0,5,0
8,2017-02-14,2017-02-07,1292200.0,-7,1
8,2017-02-14,2017-02-09,-1292200.0,-5,1
8,2017-02-14,2017-02-07,1034800.0,-7,1
8,2017-02-14,2017-02-09,-1034800.0,-5,1
6,2017-02-08,2016-12-30,24314010.0,-40,1
9,2018-01-08,2017-10-27,-3081475.0,-73,1
8,2017-02-06,2017-02-15,3589200.0,9,0
5,2017-02-06,2017-01-31,-2723734.0,-6,1
5,2017-02-06,2017-01-31,-2723734.0,-6,1
8,2017-02-03,2017-01-06,3054600.0,-28,1
17,2017-12-19,2017-10-12,800500.0,-68,1
8,2017-02-06,2017-02-11,2502250.0,5,0
8,2017-02-06,2017-01-19,2274070.0,-18,1
8,2017-02-03,2017-01-22,4938146.0,-12,1
3,2017-02-14,2017-02-13,1292700.0,-1,1
3,2017-02-03,2016-12-21,3087200.0,-44,1
4,2017-02-08,2016-12-19,1260770.0,-51,1
4,2017-02-08,2016-12-22,289290.0,-48,1
4,2017-02-08,2016-12-22,141696.0,-48,1
4,2017-02-08,2016-12-22,103000.0,-48,1
